Designator,Mid X,Mid Y,Rotation,Layer
C1,132.8,-56.41,0.0,top
C10,132.573207,-59.828207,180.0,top
C11,130.138207,-57.088207,90.0,top
C12,124.144367,-57.754366,90.0,top
C13,126.704367,-57.224366,0.0,top
C14,112.1,-73.6,90.0,top
C15,120.7,-54.75,180.0,top
C16,120.75,-59.75,0.0,top
C17,123.1,-62.95,180.0,top
C18,133.3,-66.9,0.0,top
C19,133.3,-68.4,0.0,top
C2,132.8,-51.19,180.0,top
C20,134.05,-64.15,90.0,top
C21,129.1,-68.4,180.0,top
C22,129.1,-66.9,180.0,top
C23,132.15,-63.7,90.0,top
C26,123.9,-67.8,270.0,top
C3,131.143207,-61.258207,90.0,top
C301,116.5,-50.2,90.0,top
C302,127.925,-51.525,90.0,top
C303,121.7,-50.4,90.0,top
C304,104.4,-63.0,90.0,top
C305,114.2,-69.3,0.0,top
C306,129.45,-51.525,90.0,top
C307,96.0,-55.2,90.0,top
C308,120.8,-72.9,0.0,top
C309,121.8,-67.9,90.0,top
C310,94.9,-55.2,270.0,top
C311,93.8,-55.2,90.0,top
C312,106.5,-50.2,270.0,top
C313,96.0,-70.8,270.0,top
C314,109.0,-50.75,0.0,top
C315,107.0,-66.3,90.0,top
C316,108.45,-59.25,180.0,top
C317,108.45,-60.25,180.0,top
C318,112.5,-50.2,270.0,top
C319,94.9,-70.8,90.0,top
C320,115.0,-50.75,0.0,top
C321,93.8,-70.8,270.0,top
C322,116.8,-59.7,270.0,top
C323,114.2,-62.4,0.0,top
C324,102.05,-63.0,90.0,top
C325,114.2,-64.7,0.0,top
C326,110.5,-75.8,90.0,top
C327,108.0,-75.25,180.0,top
C328,110.9,-59.7,270.0,top
C329,109.45,-66.75,0.0,top
C330,109.45,-65.75,0.0,top
C331,112.8,-59.7,90.0,top
C332,115.3,-59.25,0.0,top
C333,114.2,-67.0,0.0,top
C334,106.8,-62.6,90.0,top
C335,108.8,-62.6,90.0,top
C336,110.8,-62.6,90.0,top
C337,117.2,-63.9,90.0,top
C4,134.05,-62.2,270.0,top
C5,123.174367,-58.384366,90.0,top
C6,123.1,-61.975,180.0,top
C7,128.8,-64.99,315.0,top
C8,131.13,-63.71,270.0,top
C9,135.87,-55.525,90.0,top
D1,114.2,-76.1,180.0,top
D3,120.4,-76.1,180.0,top
D301,102.5,-50.7,0.0,top
D302,102.5,-75.3,0.0,top
D303,118.7,-49.9,180.0,top
D304,118.7,-51.4,0.0,top
D305,123.5,-49.9,180.0,top
D306,123.5,-51.4,0.0,top
D4,117.3,-76.1,0.0,top
J1,127.2,-71.2,0.0,top
L1,132.6,-61.75,180.0,top
L3,124.264367,-55.514366,0.0,top
L4,127.144367,-55.774366,90.0,top
Q301,102.5,-54.2,0.0,top
Q302,102.5,-57.7,0.0,top
Q303,102.5,-68.3,0.0,top
Q304,102.5,-71.8,0.0,top
Q305,119.5,-66.9,90.0,top
R1,122.9,-69.4,0.0,top
R2,112.1,-75.8,90.0,top
R3,116.7,-73.6,270.0,top
R301,95.9,-61.8,0.0,top
R302,95.9,-64.2,0.0,top
R303,120.5,-50.4,90.0,top
R304,125.3,-50.4,90.0,top
R305,117.2,-69.1,90.0,top
R306,117.2,-71.1,90.0,top
R307,118.8,-61.7,0.0,top
R308,97.1,-55.2,270.0,top
R309,107.5,-50.2,270.0,top
R310,109.0,-49.75,0.0,top
R311,118.8,-60.7,0.0,top
R312,120.1,-63.2,90.0,top
R313,110.5,-50.2,90.0,top
R314,121.1,-63.2,90.0,top
R316,109.9,-59.7,270.0,top
R317,97.1,-70.8,90.0,top
R318,107.0,-59.7,270.0,top
R319,109.5,-75.8,90.0,top
R320,113.5,-50.2,270.0,top
R321,115.0,-49.75,0.0,top
R322,108.0,-76.25,180.0,top
R323,106.5,-75.8,270.0,top
R324,108.0,-66.3,90.0,top
R325,110.9,-66.3,90.0,top
R326,113.8,-59.7,90.0,top
R327,115.3,-60.25,0.0,top
R328,117.2,-65.9,90.0,top
R329,118.8,-72.9,0.0,top
R6,125.9,-67.8,270.0,top
R7,122.9,-67.8,270.0,top
R8,124.9,-67.8,270.0,top
U1,127.467207,-60.856607,0.0,top
U2,114.4,-72.6,180.0,top
U301,108.5,-55.0,180.0,top
U302,108.5,-71.0,0.0,top
U303,114.6,-55.0,180.0,top
U304,119.8,-70.6,180.0,top
Y1,132.8,-53.8,90.0,top
Y2,120.7,-57.25,270.0,top
