Designator,Footprint,Quantity,Value,LCSC Part #
AE201,nRF_pcbAntenna,1,Antenna,
"C1, C15, C16, C2",0402,4,12pF,
C10,0402,1,100pF,
"C11, C26, C5, C7",0402,4,100nF,
"C12, C13",0402,2,1.0uF,
"C14, C17, C308, C309, C315, C322, C328, C337, C6",0402,9,4.7uF,
"C18, C19, C21, C22",0603,4,100pF C0G,
"C20, C23",0402,2,20pF C0G,
"C3, C4, C9",0402,3,1pF,
"C301, C303",0402,2,10nF,
"C302, C306, C307, C310, C311, C313, C319, C321",0402,8,6.8nF,
"C304, C305, C323, C324, C325, C333",1206,6,100uF,
"C312, C318, C326, C331, C8",0402,5,1nF,
"C314, C320, C327, C332",0402,4,22pF,
"C316, C317, C329, C330",0402,4,220pF,
"C334, C335, C336",0805,3,47uF,
"D1, D3",0603,2,LED_red,
"D301, D302",SOT-23,2,BAV99,
"D303, D304, D305, D306",D_SOD-523,4,RB521S30T5G,
D4,0603,1,LED_blue,
"H1, H2, H3, H4",SolderWirePad_1x01_SMD_1x2mm,4,Pad,
"H5, H6",ToolingHoleJLCPCB,2,MountingHole,
J1,USB_C_SHOU-HAN-TYPE-C-6P,1,USB_C_Receptacle_PowerOnly_6P,
"J10, J9",PinHeader_1x01_P1.27mm_Vertical,2,Conn_01x01,
J2,PinHeader_2x05_P1.27mm_Vertical,1,Conn_02x05_Odd_Even,
L1,0402,1,3.9nH,
L3,1206,1,10uH,
L4,0402,1,15nH,
"LS301, LS302",Transducer@Transformer,2,Transducer,
"Q301, Q302, Q303, Q304",SOT-23,4,AO3400A,
Q305,SOT-23,1,AO3401A,
"R1, R328",0402,2,1M,
"R2, R308, R317, R6, R7",0402,5,1k,
R3,0402,1,2k,
"R301, R302",1206,2,1,
"R303, R304",0402,2,4.7k,
"R305, R306",0402,2,33k,
"R309, R313, R319, R320, R323, R326",0402,6,3.3k,
"R310, R321, R322, R327",0402,4,68k,
"R316, R324",0402,2,20k,
"R318, R325",0402,2,120k,
R329,0402,1,330,
R8,0402,1,10k,
"T301, T302",B78416A2430A003,2,Transformer_1:1:15,
U1,NRF52833-QDAA-R7,1,NRF52833-QDAA,
U2,TSOT-23-6,1,TP4057,
"U301, U302, U303",SOIC-8_3.9x4.9mm_P1.27mm,3,MCP6002T,
U304,SOT-23-5,1,LMV321,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322532MOB4SI,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,Q13FC1350000400,
